Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
CTVLis,CTVLis,CTVLis,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
CTVLondon,CTVLondon,CTVLondon,OR,source,CTV,London,Ontario,Canada,Not CBC,,
CTVMelissaLamb,CTVMelissaLamb,CTVMelissaLamb,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTVMercedes,CTVMercedes,CTVMercedes,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTVMontreal,CTVMontreal,CTVMontreal,OR,source,CTV,Montreal,Quebec,Canada,Not CBC,,
CTVMorningAtl,CTVMorningAtl,CTVMorningAtl,OR,source,CTV,Atlantic,Atlantic,Canada,Not CBC,,
CTVMorningLive,CTVMorningLive,CTVMorningLive,OR,source,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTVMorningWPG,CTVMorningWPG,CTVMorningWPG,OR,source,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
CTVMorningYYC,CTVMorningYYC,CTVMorningYYC,OR,source,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVNationalNews,CTVNationalNews,CTVNationalNews,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
CTVNews,CTVNews,CTVNews,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
CTVNewsAstrid,CTVNewsAstrid,CTVNewsAstrid,OR,person,CTV,Victoria,British Columbia,Canada,Not CBC,,
CTVNewsBen,CTVNewsBen,CTVNewsBen,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTVNewsJeff,CTVNewsJeff,CTVNewsJeff,OR,person,CTV,Victoria,British Columbia,Canada,Not CBC,,
CTVNewsLouise,CTVNewsLouise,CTVNewsLouise,OR,person,CTV,Victoria,British Columbia,Canada,Not CBC,,
CTVNewsVI,CTVNewsVI,CTVNewsVI,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTVNewsYvonne,CTVNewsYvonne,CTVNewsYvonne,OR,person,CTV,Victoria,British Columbia,Canada,Not CBC,,
CTVNorma,CTVNorma,CTVNorma,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTVNorthernNews,CTVNorthernNews,CTVNorthernNews,OR,source,CTV,North,North,Canada,Not CBC,,
CTVOmar,CTVOmar,CTVOmar,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
ctvottawa,ctvottawa,ctvottawa,OR,source,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTVOttMornLive,CTVOttMornLive,CTVOttMornLive,OR,source,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTVPrinceAlbert,CTVPrinceAlbert,CTVPrinceAlbert,OR,source,CTV,Prince Albert,Saskatchewan,Canada,Not CBC,,
ctvqp,ctvqp,ctvqp,OR,source,CTV,Ottawa,Ontario,Canada,Not CBC,,
CTVRachelle,CTVRachelle,CTVRachelle,OR,person,CTV,Prince Albert,Saskatchewan,Canada,Not CBC,,
ctvregina,ctvregina,ctvregina,OR,source,CTV,Regina,Saskatchewan,Canada,Not CBC,,
CTVReginaLive,CTVReginaLive,CTVReginaLive,OR,source,CTV,Regina,Saskatchewan,Canada,Not CBC,,
CTVRyanWhite,CTVRyanWhite,CTVRyanWhite,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVSarah,CTVSarah,CTVSarah,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
ctvsaskatoon,ctvsaskatoon,ctvsaskatoon,OR,source,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
CTVSchmidtC,CTVSchmidtC,CTVSchmidtC,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVShaunF,CTVShaunF,CTVShaunF,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVStephanie,CTVStephanie,CTVStephanie,OR,person,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
CTVTaraNelson,CTVTaraNelson,CTVTaraNelson,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
CTVTaylor,CTVTaylor,CTVTaylor,OR,person,CTV,Red Deer,Alberta,Canada,Not CBC,,
CTVToronto,CTVToronto,CTVToronto,OR,source,CTV,Toronto,Ontario,Canada,Not CBC,,
CTVVancouver,CTVVancouver,CTVVancouver,OR,source,CTV,Vancouver,British Columbia,Canada,Not CBC,,
CTVWindsor,CTVWindsor,CTVWindsor,OR,source,CTV,Windsor,Ontario,Canada,Not CBC,,
ctvwinnipeg,ctvwinnipeg,ctvwinnipeg,OR,source,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
CTVYorkton,CTVYorkton,CTVYorkton,OR,source,CTV,Yorkton,Saskatchewan,Canada,Not CBC,,
CVRecord,CVRecord,CVRecord,OR,source,Comov Valley Record,Comox Valley,British Columbia,Canada,Not CBC,,
cwadsworthCTV,cwadsworthCTV,cwadsworthCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
DaleatLFPress,DaleatLFPress,DaleatLFPress,OR,person,London Free Press,London,Ontario,Canada,Not CBC,,
DanApplebyCTV,DanApplebyCTV,DanApplebyCTV,OR,person,CTV,Atlantic,Atlantic,Canada,Not CBC,,
davidakin,davidakin,davidakin,OR,person,Global,Ottawa,Ontario,Canada,Not CBC,,
DavidBellCBC,DavidBellCBC,DavidBellCBC,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
DeniseCTV,DeniseCTV,DeniseCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
DeSmogCanada,DeSmogCanada,DeSmogCanada,OR,source,De Smog Canada,Canada,Canada,Canada,Not CBC,,
DGrummettCTV,DGrummettCTV,DGrummettCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
DHerbertCBC,DHerbertCBC,DHerbertCBC,OR,person,CBC,Kamloops,British Columbia,Canada,CBC,,
digital_newsgal,digital_newsgal,digital_newsgal,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
DillonTCBC,DillonTCBC,DillonTCBC,OR,person,CBC,St John,Newfoundland,Canada,CBC,,
DominicTerryCTV,DominicTerryCTV,DominicTerryCTV,OR,person,CTV,Calgary,Alberta,Canada,Not CBC,,
donaldsonkyle,donaldsonkyle,donaldsonkyle,OR,person,City,Vancouver,British Columbia,Canada,Not CBC,,
DonBellCBC,DonBellCBC,DonBellCBC,OR,person,CBC,Edmonton,Alberta,Canada,CBC,,
donnaleecbc,donnaleecbc,donnaleecbc,OR,person,CBC,Iqaluit,North,Canada,CBC,,
DuranCKNW980,DuranCKNW980,DuranCKNW980,OR,person,CKNW,British Columbia,British Columbia,Canada,Not CBC,,
dustinrgodfrey,dustinrgodfrey,dustinrgodfrey,OR,person,Penticton News,Penticton,British Columbia,Canada,Not CBC,,
eastknow,eastknow,eastknow,OR,source,East Know,East Kootenay,British Columbia,Canada,Not CBC,,
EdmontonCP,EdmontonCP,EdmontonCP,OR,source,The Canadian Press,Edmonton,Alberta,Canada,Not CBC,,
edmontonjournal,edmontonjournal,edmontonjournal,OR,source,Edmonton Journal,Edmonton,Alberta,Canada,Not CBC,,
ElisaJaffe,ElisaJaffe,ElisaJaffe,OR,person,Komo News,Seattle,Washington,Canada,Not CBC,,
EmergencyInfoBC,EmergencyInfoBC,EmergencyInfoBC,OR,source,Emergency Info BC,British Columbia,British Columbia,Canada,Not CBC,,
ericgreniercbc,ericgreniercbc,ericgreniercbc,OR,person,CBC,Canada,Canada,Canada,CBC,,
etalkCTV,etalkCTV,etalkCTV,OR,source,CTV,Canada,Canada,Canada,Not CBC,,
ETCanada,ETCanada,ETCanada,OR,source,Global,Canada,Canada,Canada,Not CBC,,
fcavallarocbc,fcavallarocbc,fcavallarocbc,OR,person,CBC,Montreal,Quebec,Canada,CBC,,
Federation,Federation,Federation,OR,source,Red Cross,Canada,Canada,Canada,Not CBC,,
FernieFreePress,FernieFreePress,FernieFreePress,OR,person,London Free Press,Fernie,British Columbia,Canada,Not CBC,,
FortStJamesNews,FortStJamesNews,FortStJamesNews,OR,source,Fort Saint James News,Fort St. James,British Columbia,Canada,Not CBC,,
fox12oregon,fox12oregon,fox12oregon,OR,source,Fox 12 Oregon,Oregon,Oregon,USA,Not CBC,,
GaryCBC,GaryCBC,GaryCBC,OR,person,CBC,Kitchener,Ontario,Canada,CBC,,
GaryCunliffeCBC,GaryCunliffeCBC,GaryCunliffeCBC,OR,person,CBC,Edmonton,Alberta,Canada,CBC,,
GIDriftwood,GIDriftwood,GIDriftwood,OR,source,GI Driftwood,Salt Spring Island,British Columbia,Canada,Not CBC,,
global_bassett,global_bassett,global_bassett,OR,person,Global,Calgary,Alberta,Canada,Not CBC,,
global_leslie,global_leslie,global_leslie,OR,person,Global,Calgary,Alberta,Canada,Not CBC,,
Global_Montreal,Global_Montreal,Global_Montreal,OR,source,Global,Montreal,Quebec,Canada,Not CBC,,
Global_NB,Global_NB,Global_NB,OR,source,Global,New Brunswick,New Brunswick,Canada,Not CBC,,
Global_Smith,Global_Smith,Global_Smith,OR,person,Global,Calgary,Alberta,Canada,Not CBC,,
Global_TV,Global_TV,Global_TV,OR,source,Global,Canada,Canada,Canada,Not CBC,,
GlobalBC,GlobalBC,GlobalBC,OR,source,Global,British Columbia,British Columbia,Canada,Not CBC,,
GlobalBCMorning,GlobalBCMorning,GlobalBCMorning,OR,source,Global,British Columbia,British Columbia,Canada,Not CBC,,
GlobalBCWeather,GlobalBCWeather,GlobalBCWeather,OR,source,Global,British Columbia,British Columbia,Canada,Not CBC,,
GlobalCalgary,GlobalCalgary,GlobalCalgary,OR,source,Global,Calgary,Alberta,Canada,Not CBC,,
GlobalDurham,GlobalDurham,GlobalDurham,OR,source,Global,Durham,Ontario,Canada,Not CBC,,
GlobalEdmonton,GlobalEdmonton,GlobalEdmonton,OR,source,Global,Edmonton,Alberta,Canada,Not CBC,,
globalhalifax,globalhalifax,globalhalifax,OR,source,Global,Halifax,Nova Scotia,Canada,Not CBC,,
GlobalLeth,GlobalLeth,GlobalLeth,OR,source,Global,Lethbridge,Alberta,Canada,Not CBC,,
GlobalNational,GlobalNational,GlobalNational,OR,source,Global,Canada,Canada,Canada,Not CBC,,
globalnews,globalnews,globalnews,OR,source,Global,Canada,Canada,Canada,Not CBC,,
GlobalNewsLife,GlobalNewsLife,GlobalNewsLife,OR,source,Global,Canada,Canada,Canada,Not CBC,,
globalnewsto,globalnewsto,globalnewsto,OR,source,Global,Toronto,Ontario,Canada,Not CBC,,
GlobalOkanagan,GlobalOkanagan,GlobalOkanagan,OR,source,Global,Okanagan,British Columbia,Canada,Not CBC,,
GlobalParker,GlobalParker,GlobalParker,OR,person,Global,Calgary,Alberta,Canada,Not CBC,,
GlobalRegina,GlobalRegina,GlobalRegina,OR,source,Global,Regina,Saskatchewan,Canada,Not CBC,,
GlobalSaskatoon,GlobalSaskatoon,GlobalSaskatoon,OR,source,Global,Saskatoon,Saskatchewan,Canada,Not CBC,,
globalwinnipeg,globalwinnipeg,globalwinnipeg,OR,source,Global,Winnipeg,Manitoba,Canada,Not CBC,,
globeandmail,globeandmail,globeandmail,OR,source,Globe and Mail,Canada,Canada,Canada,Not CBC,,
GoldstreamNews,GoldstreamNews,GoldstreamNews,OR,source,Goldstream News,Victoria,British Columbia,Canada,Not CBC,,
GreaterVan_News,GreaterVan_News,GreaterVan_News,OR,source,Greater Van News,Vancouver,British Columbia,Canada,Not CBC,,
GregatLFPress,GregatLFPress,GregatLFPress,OR,person,London Free Press,London,Ontario,Canada,Not CBC,,
GregGuyCBC,GregGuyCBC,GregGuyCBC,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
HallieCBC,HallieCBC,HallieCBC,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
HanceCBC,HanceCBC,HanceCBC,OR,person,CBC,Saint Johns,New Brunswick,Canada,CBC,,
heartland_onCBC,heartland_onCBC,heartland_onCBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
HeartlandOnCBC,HeartlandOnCBC,HeartlandOnCBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
HeatherButtsCTV,HeatherButtsCTV,HeatherButtsCTV,OR,person,CTV,Barrie,Ontario,Canada,Not CBC,,
HeatherWellsCBC,HeatherWellsCBC,HeatherWellsCBC,OR,person,CBC,WInnipeg,Manitoba,Canada,CBC,,
HelenMannCBC,HelenMannCBC,HelenMannCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
hloughrancbc,hloughrancbc,hloughrancbc,OR,person,CBC,Saskatoon,Saskatchewan,Canada,CBC,,
hollybernierCBC,hollybernierCBC,hollybernierCBC,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
HopeStandard,HopeStandard,HopeStandard,OR,source,Hope Standard,Hope,British Columbia,Canada,Not CBC,,
HuffPostAlberta,HuffPostAlberta,HuffPostAlberta,OR,source,Huffington Post,Alberta,Alberta,Canada,Not CBC,,
HuffPostAU,HuffPostAU,HuffPostAU,OR,source,Huffington Post,Australia,Australia,Australia,Not CBC,,
HuffPostBC,HuffPostBC,HuffPostBC,OR,source,Huffington Post,British Columbia,British Columbia,Canada,Not CBC,,
HuffPostCaLiv,HuffPostCaLiv,HuffPostCaLiv,OR,source,Huffington Post,Canada,Canada,Canada,Not CBC,,
HuffPostCanada,HuffPostCanada,HuffPostCanada,OR,source,Huffington Post,Canada,Canada,Canada,Not CBC,,
HuffPostQuebec,HuffPostQuebec,HuffPostQuebec,OR,source,Huffington Post,Quebec,Quebec,Canada,Not CBC,,
HuttonCBC,HuttonCBC,HuttonCBC,OR,person,CBC,Saskatchewan,Saskatchewan,Canada,CBC,,
iancaldwellCTV,iancaldwellCTV,iancaldwellCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
icbc,icbc,icbc,OR,source,CBC,Quebec,Quebec,Canada,CBC,,
icbc_org,icbc_org,icbc_org,OR,source,CBC,Quebec,Quebec,Canada,CBC,,
iciradiocanada,iciradiocanada,iciradiocanada,OR,source,CBC,Canada,Canada,Canada,CBC,,
iheardradioCA,iheartradioCA,iheartradioCA,OR,source,iHeart Radio,Canada,Canada,Canada,Not CBC,,
InfoNewsKam,InfoNewsKam,InfoNewsKam,OR,source,Info News,Kamloops,British Columbia,Canada,Not CBC,,
infonewskelowna,infonewskelowna,infonewskelowna,OR,source,Info News,Kelowna,British Columbia,Canada,Not CBC,,
InfoNewsPentict,InfoNewsPentict,InfoNewsPentict,OR,source,Info News,Penticton,British Columbia,Canada,Not CBC,,
infonewsvernon,infonewsvernon,infonewsvernon,OR,source,Info News,Vernon,British Columbia,Canada,Not CBC,,
InSurreyWhiteRk,InSurreyWhiteRk,InSurreyWhiteRk,OR,source,In Surrey White Rock News,Surrey,British Columbia,Canada,Not CBC,,
ipoliticsca,ipoliticsca,ipoliticsca,OR,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,,
Irene680NEWS,Irene680NEWS,Irene680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
jackermann,jackermann,jackermann,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
JanetStewartCBC,JanetStewartCBC,JanetStewartCBC,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
JasonViauCBC,JasonViauCBC,JasonViauCBC,OR,person,CBC,Windsor,Ontario,Canada,CBC,,
jdeMontreal,jdeMontreal,jdeMontreal,OR,source,Le Journal De Montreal,Montreal,Quebec,Canada,Not CBC,,
JeffRogstadCTV,JeffRogstadCTV,JeffRogstadCTV,OR,person,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
JeremyGlobalTV,JeremyGlobalTV,JeremyGlobalTV,OR,person,Global,Toronto,Ontario,Canada,Not CBC,,
jesseferreras,jesseferreras,jesseferreras,OR,person,Global,Vancouver,British Columbia,Canada,Not CBC,,
JessicaSmithCTV,JessicaSmithCTV,JessicaSmithCTV,OR,person,CTV,Yorkton,Saskatchewan,Canada,Not CBC,,
jfergusoncbcpei,jfergusoncbcpei,jfergusoncbcpei,OR,person,CBC,PEI,PEI,Canada,CBC,,
JHallCKNW980,JHallCKNW980,JHallCKNW980,OR,person,CKNW,British Columbia,British Columbia,Canada,Not CBC,,
JillKrop,JillKrop,JillKrop,OR,person,Global,Vancouver,British Columbia,Canada,Not CBC,,
JJCTV,JJCTV,JJCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
JLewisCTV,JLewisCTV,JLewisCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
joeswissctv,joeswissctv,joeswissctv,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
johncrupictv,johncrupictv,johncrupictv,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
JohnHua,JohnHua,JohnHua,OR,person,Global,Vancouver,British Columbia,Canada,Not CBC,,
johnsauderCBC,johnsauderCBC,johnsauderCBC,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
jonmace680NEWS,jonmace680NEWS,jonmace680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
JonnaBrewerCBC,JonnaBrewerCBC,JonnaBrewerCBC,OR,person,CBC,Moncton,Nova Scotia,Canada,CBC,,
joshclassenCTV,joshclassenCTV,joshclassenCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
JoshDehaas,JoshDehaas,JoshDehaas,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
JThompsonCTV,JThompsonCTV,JThompsonCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
jtmarshallCKOM,jtmarshallCKOM,jtmarshallCKOM,OR,person,CKOM News,Saskatoon,Saskatchewan,Canada,Not CBC,,
JudyTrinhCBC,JudyTrinhCBC,JudyTrinhCBC,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
JWilsonGlobal,JWilsonGlobal,JWilsonGlobal,OR,person,Global,Saskatoon,Saskatchewan,Canada,Not CBC,,
karenpaulscbc,karenpaulscbc,karenpaulscbc,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
KatieGriffinCTV,KatieGriffinCTV,KatieGriffinCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
KatieRoweCBC,KatieRoweCBC,KatieRoweCBC,OR,person,CBC,Saint Johns,New Brunswick,Canada,CBC,,
KATUNews,KATUNews,KATUNews,OR,source,KATU News,Oregon,Oregon,USA,Not CBC,,
KBulletin,KBulletin,KBulletin,OR,source,Kimberley Bulletin,Kimberley,British Columbia,Canada,Not CBC,,
keithbaldrey,keithbaldrey,keithbaldrey,OR,person,global,Victoria,British Columbia,Canada,Not CBC,,
KeldaYuenCTV,KeldaYuenCTV,KeldaYuenCTV,OR,person,CTV,London,Ontario,Canada,Not CBC,,
KelownaCapNews,KelownaCapNews,KelownaCapNews,OR,source,Kelowna Cap News,Kelowna,British Columbia,Canada,Not CBC,,
KelvinGawley,KelvinGawley,KelvinGawley,OR,person,Abby News,British Columbia,British Columbia,Canada,Not CBC,,
KentMGlobal,KentMGlobal,KentMGlobal,OR,source,Global,Edmonton,Alberta,Canada,Not CBC,,
KGallagherCTV,KGallagherCTV,KGallagherCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
KGordonGlobalBC,KGordonGlobalBC,KGordonGlobalBC,OR,person,Global,Vancouver,British Columbia,Canada,Not CBC,,
KGWNews,KGWNews,KGWNews,OR,source,KGWN News,Oregon,Oregon,USA,Not CBC,,
KHQLocalNews,KHQLocalNews,KHQLocalNews,OR,source,KQH Local News,Spokane,Washington,USA,Not CBC,,
KING5Seattle,KING5Seattle,KING5Seattle,OR,source,KING 5 Seattle,Seattle,Washington,USA,Not CBC,,
KIRO7Seattle,KIRO7Seattle,KIRO7Seattle,OR,source,KIRO 7 Seattle,Seattle,Washington,USA,Not CBC,,
KiSS925,KiSS925,KiSS925,OR,source,KiSS 92.5,Toronto,Ontario,Canada,Not CBC,,
KlaudiaGlobal,KlaudiaGlobal,KlaudiaGlobal,OR,person,Global,Okanagan,British Columbia,Canada,Not CBC,,
KOINNews,KOINNews,KOINNews,OR,source,KOIN News,Portland,Oregon,USA,Not CBC,,
komonews,komonews,komonews,OR,source,Komo News,Seattle,Washington,USA,Not CBC,,
komonewsradio,komonewsradio,komonewsradio,OR,source,Komo News,Seattle,Washington,USA,Not CBC,,
KUOW,KUOW,KUOW,OR,source,KUOW News,Seattle,Washington,USA,Not CBC,,
KyleBalzer,KyleBalzer,KyleBalzer,OR,person,Vista Radio,Prince George,British Columbia,Canada,Not CBC,,
LangleyAdvance,LangleyAdvance,LangleyAdvance,OR,source,Langley Advance,Langley,British Columbia,Canada,Not CBC,,
LangleyTimes,LangleyTimes,LangleyTimes,OR,source,Langley Times,Langley,British Columbia,Canada,Not CBC,,
larochecbc,larochecbc,larochecbc,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
LauraBrownCTV,LauraBrownCTV,LauraBrownCTV,OR,person,CTV,Halifax,Nova Scotia,Canada,Not CBC,,
Lauren_Global,Lauren_Global,Lauren_Global,OR,person,Global,Kelowna,British Columbia,Canada,Not CBC,,
leaderpost,leaderpost,leaderpost,OR,source,Leader Post,Regina,Saskatchewan,Canada,Not CBC,,
LeahCTV,LeahCTV,LeahCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
LeenaCP24,LeenaCP24,LeenaCP24,OR,person,CP24,Toronto,Ontario,Canada,Not CBC,,
leth_herald,leth_herald,leth_herald,OR,source,The Lethbridge Herald,Lethbridge,Alberta,Canada,Not CBC,,
LFPress,LFPress,LFPress,OR,source,London Free Press,London,Ontario,Canada,Not CBC,,
LGrahamCTV,LGrahamCTV,LGrahamCTV,OR,person,CTV,Montreal,Quebec,Canada,Not CBC,,
LincolnCTV,LincolnCTV,LincolnCTV,OR,person,CTV,Sault Saint Marie,Ontario,Canada,Not CBC,,
lisa_prophet,lisa_prophet,lisa_prophet,OR,person,Maple Ridge News,Maple Ridge,British Columbia,Canada,Not CBC,,
LisaLaFlammeCTV,LisaLaFlammeCTV,LisaLaFlammeCTV,OR,person,CTV,Canada,Canada,Canada,Not CBC,,
lkretzel1130,lkretzel1130,lkretzel1130,OR,person,NEWS 1130,British Columbia,British Columbia,Canada,Not CBC,,
LOLCBC,LOLCBC,LOLCBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
Lookout_news,Lookout_news,Lookout_news,OR,source,Lookout News,Victoria,British Columbia,Canada,Not CBC,,
looniepolitics,looniepolitics,looniepolitics,OR,source,Loonia Politics,Nova Scotia,Nova Scotia,Canada,Not CBC,,
LouiseMartinCBC,LouiseMartinCBC,LouiseMartinCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
LuctCTV,LuctCTV,LuctCTV,OR,person,CTV,Edmonton,Alberta,Canada,Not CBC,,
Lyndsay_CTV,Lyndsay_CTV,Lyndsay_CTV,OR,person,CTV,Kitchener,Ontario,Canada,Not CBC,,
macleans,macleans,macleans,OR,source,MacLeans,Canada,Canada,Canada,Not CBC,,
MapleRidgeNews,MapleRidgeNews,MapleRidgeNews,OR,source,Maple Ridge News,Maple Ridge,British Columbia,Canada,Not CBC,,
MarielleCBC,MarielleCBC,MarielleCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
MarilynDenisCTV,MarilynDenisCTV,MarilynDenisCTV,OR,person,CTV,Toronto,Ontario,Canada,Not CBC,,
MArsalidesCTV,MArsalidesCTV,MArsalidesCTV,OR,person,CTV,Barrie,Ontario,Canada,Not CBC,,
MarvinsRoomCBC,MarvinsRoomCBC,MarvinsRoomCBC,OR,person,CBC,Canada,Canada,Canada,CBC,,
mattrainniecbc,mattrainniecbc,mattrainniecbc,OR,person,CBC,PEI,PEI,Canada,CBC,,
MattYoungCTV,MattYoungCTV,MattYoungCTV,OR,person,CTV,Saskatoon,Saskatchewan,Canada,Not CBC,,
MBorrelliCTV,MBorrelliCTV,MBorrelliCTV,OR,person,CTV,Windsor,Ontario,Canada,Not CBC,,
MedicineHatNews,MedicineHatNews,MedicineHatNews,OR,source,Medicine Hat News,Medicine Hat,Alberta,Canada,Not CBC,,
MeeganReadCBC,MeeganReadCBC,MeeganReadCBC,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
meganTcbc,meganTcbc,meganTcbc,OR,person,CBC,Victoria,British Columbia,Canada,CBC,,
MelanieNagyCTV,MelanieNagyCTV,MelanieNagyCTV,OR,person,CTV,British Columbia,British Columbia,Canada,Not CBC,,
MerrittHerald,MerrittHerald,MerrittHerald,OR,source,Merritt Herald,Merritt,British Columbia,Canada,Not CBC,,
metrocalgary,metrocalgary,metrocalgary,OR,source,Metro News,Calgary,Alberta,Canada,Not CBC,,
metroedmonton,metroedmonton,metroedmonton,OR,source,Metro News,Edmonton,Alberta,Canada,Not CBC,,
metrohalifax,metrohalifax,metrohalifax,OR,source,Metro News,Halifax,Nova Scotia,Canada,Not CBC,,
metromorning,metromorning,metromorning,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
MetroNewsCanada,MetroNewsCanada,MetroNewsCanada,OR,source,Metro News,Canada,Canada,Canada,Not CBC,,
metroottawa,metroottawa,metroottawa,OR,source,Metro News,Ottawa,Ontario,Canada,Not CBC,,
metrotoronto,metrotoronto,metrotoronto,OR,source,Metro News,Toronto,Ontario,Canada,Not CBC,,
metrowinnipeg,metrowinnipeg,metrowinnipeg,OR,source,Metro News,Winnipeg,Manitoba,Canada,Not CBC,,
MHarroldCTV,MHarroldCTV,MHarroldCTV,OR,person,CTV,Montreal,Quebec,Canada,Not CBC,,
MICHAELCTV,MICHAELCTV,MICHAELCTV,OR,person,CTV,Ottawa,Ontario,Canada,Not CBC,,
michaeltgorman,michaeltgorman,michaeltgorman,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
MikePHager,MikePHager,MikePHager,OR,person,Globe and Mail,Vancouver,British Columbia,Canada,Not CBC,,
Misener680NEWS,Misener680NEWS,Misener680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
MissionRecord,MissionRecord,MissionRecord,OR,source,Mission Record,Mission,British Columbia,Canada,Not CBC,,
mitchcormierCBC,mitchcormierCBC,mitchcormierCBC,OR,person,CBC,PEI,PEI,Canada,CBC,,
MiyoungLeeCBC,MiyoungLeeCBC,MiyoungLeeCBC,OR,person,CBC,Vancouver,British Columbia,Canada,CBC,,
MMorton980,MMorton980,MMorton980,OR,person,CKNW,Vancouver,British Columbia,Canada,Not CBC,,
Momin680NEWS,Momin680NEWS,Momin680NEWS,OR,person,680 News,Toronto,Ontario,Canada,Not CBC,,
MontrealCP,MontrealCP,MontrealCP,OR,source,The Canadian Press,Montreal,Quebec,Canada,Not CBC,,
mtlgazette,mtlgazette,mtlgazette,OR,source,Montreal Gazette,Montreal,Quebec,Canada,Not CBC,,
musgravesharon,musgravesharon,musgravesharon,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
mypgnow,mypgnow,mypgnow,OR,source,Vista Radio,British Columbia,British Columbia,Canada,Not CBC,,
NanaimoBulletin,NanaimoBulletin,NanaimoBulletin,OR,source,Nanaimo Bulletin,Nanaimo,British Columbia,Canada,Not CBC,,
NanaimoNewsNOW,NanaimoNewsNOW,NanaimoNewsNOW,OR,source,Nanaimo News Now,Nanaimo,British Columbia,Canada,Not CBC,,
nationalpost,nationalpost,nationalpost,OR,source,National Post,Canada,Canada,Canada,Not CBC,,
NationTalk,NationTalk,NationTalk,OR,source,Nation Talk,North,North,Canada,Not CBC,,
natnewswatch,natnewswatch,natnewswatch,OR,source,Nat News Watch,Canada,Canada,Canada,Not CBC,,
NatObserver,NatObserver,NatObserver,OR,source,National Observer,International,International,International,Not CBC,,
