Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
Bernardo1130,Bernardo1130,Bernardo1130,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
BerniceCBC,BerniceCBC,BerniceCBC,OR,person,CBC,Corner Brook,Newfoundland,Canada,CBC,,
BethCTV,BethCTV,BethCTV,OR,person,CTV,Winnipeg,Manitoba,Canada,Not CBC,,
BIVnews,BIVnews,BIVnews,OR,source,BIV News,Vancouver,British Columbia,Canada,Not CBC,,
BlackPressMedia,BlackPressMedia,BlackPressMedia,OR,source,Black Press Media,British Columbia,British Columbia,Canada,Not CBC,,
BlueShoreNews,BlueShoreNews,BlueShoreNews,OR,source,Blue Shore News,Vancouver,British Columbia,Canada,Not CBC,,
bmanphoto,bmanphoto,bmanphoto,OR,person,CTV,Vancouver,British Columbia,Canada,Not CBC,,
bradleyrjay,bradleyrjay,bradleyrjay,OR,person,Summit 107 FM,British Columbia,British Columbia,Canada,Not CBC,,
brampton_news,brampton_news,brampton_news,OR,source,Brampton News,Brampton,Ontario,Canada,Not CBC,,
BrennanAllenCBC,BrennanAllenCBC,BrennanAllenCBC,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
BrentLaleCTV,BrentLaleCTV,BrentLaleCTV,OR,person,CTV,Canada,Canada,Canada,Not CBC,,
Brett_CBC,Brett_CBC,Brett_CBC,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
briancbctraffic,briancbctraffic,briancbctraffic,OR,person,CBC,Corner Brook,Newfoundland,Canada,CBC,,
BruceClaggett,BruceClaggett,BruceClaggett,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
BruceFriskoCTV,BruceFriskoCTV,BruceFriskoCTV,OR,person,CTV,Canada,Canada,Canada,Not CBC,,
BryanMGlobal,BryanMGlobal,BryanMGlobal,OR,person,Global,Canada,Canada,Canada,Not CBC,,
BT_Vancouver,BT_Vancouver,BT_Vancouver,OR,source,City,Vancouver,British Columbia,Canada,Not CBC,,
CalgaryCP,CalgaryCP,CalgaryCP,OR,source,The Canadian Press,Calgary,Alberta,Canada,Not CBC,,
calgaryherald,calgaryherald,calgaryherald,OR,source,calgary herald,Calgary,Alberta,Canada,Not CBC,,
calgarysun,calgarysun,calgarysun,OR,source,The Sun,Calgary,Alberta,Canada,Not CBC,,
CamMacIntoshCBC,CamMacIntoshCBC,CamMacIntoshCBC,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
Canoe,Canoe,Canoe,OR,source,Canoe,Canada,Canada,Canada,Not CBC,,
CanRedCrossATL,CanRedCrossATL,CanRedCrossATL,OR,source,Red Cross,British Columbia,British Columbia,Canada,Not CBC,,
canredcrossnb,canredcrossnb,canredcrossnb,OR,source,Red Cross,New Brunswick,New Brunswick,Canada,Not CBC,,
canredcrossnl,canredcrossnl,canredcrossnl,OR,source,Red Cross,Newfoundland,Newfoundland,Canada,Not CBC,,
canredcrossns,canredcrossns,canredcrossns,OR,source,Red Cross,Nova Scotia,Nova Scotia,Canada,Not CBC,,
canredcrosspei,canredcrosspei,canredcrosspei,OR,source,Red Cross,PEI,PEI,Canada,Not CBC,,
capebretonpost,capebretonpost,capebretonpost,OR,source,Cape Breton Post,Cape Breton,Nova Scotia,Canada,Not CBC,,
carolynraycbc,carolynraycbc,carolynraycbc,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
CastanetNews,CastanetNews,CastanetNews,OR,source,Castanet News,Kelowna,British Columbia,Canada,Not CBC,,
cattunneycbc,cattunneycbc,cattunneycbc,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
CBC,CBC,CBC,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbc_life,cbc_life,cbc_life,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBC_Michael,CBC_Michael,CBC_Michael,OR,person,CBC,Canada,Canada,Canada,CBC,,
CBC_TOCommunity,CBC_TOCommunity,CBC_TOCommunity,OR,source,CBC,Toronto,Ontario,Canada,CBC,,
cbc2017,cbc2017,cbc2017,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCAdrianH,CBCAdrianH,CBCAdrianH,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
CBCAfternoonDr,CBCAfternoonDr,CBCAfternoonDr,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCAlerts,CBCAlerts,CBCAlerts,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCArts,CBCArts,CBCArts,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcasithappens,cbcasithappens,cbcasithappens,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCBecauseNews,CBCBecauseNews,CBCBecauseNews,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcbernard,cbcbernard,cbcbernard,OR,person,CBC,London,Ontario,Canada,CBC,,
cbcbooks,cbcbooks,cbcbooks,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCBreakaway,CBCBreakaway,CBCBreakaway,OR,source,CBC,Quebec,Quebec,Canada,CBC,,
CBCBusiness,CBCBusiness,CBCBusiness,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCCalgary,CBCCalgary,CBCCalgary,OR,source,CBC,Calgary,Alberta,Canada,CBC,,
CBCcameraman,CBCcameraman,CBCcameraman,OR,person,CBC,Halifax,Nova Scotia,Canada,CBC,,
CBCCanada,CBCCanada,CBCCanada,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCComedy,CBCComedy,CBCComedy,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCCrosstalk,CBCCrosstalk,CBCCrosstalk,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCDay6,CBCDay6,CBCDay6,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcdebaters,cbcdebaters,cbcdebaters,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcdocs,cbcdocs,cbcdocs,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcDougDirks,cbcDougDirks,cbcDougDirks,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
CBCEdmonton,CBCEdmonton,CBCEdmonton,OR,source,CBC,Edmonton,Alberta,Canada,CBC,,
CBCEyeopener,CBCEyeopener,CBCEyeopener,OR,source,CBC,Calgary,Alberta,Canada,CBC,,
cbcfreshair,cbcfreshair,cbcfreshair,OR,source,CBC,Toronto,Ontario,Canada,CBC,,
CBCGloria,CBCGloria,CBCGloria,OR,person,CBC,Vancouver,British Columbia,Canada,CBC,,
CBCHamilton,CBCHamilton,CBCHamilton,OR,source,CBC,Hamilton,Ontario,Canada,CBC,,
CBCHfxTraffic,CBCHfxTraffic,CBCHfxTraffic,OR,source,CBC,Halifax,Nova Scotia,Canada,CBC,,
cbchh,cbchh,cbchh,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCHomestretch,CBCHomestretch,CBCHomestretch,OR,source,CBC,Calgary,Alberta,Canada,CBC,,
cbcian,cbcian,cbcian,OR,person,CBC,Vancouver,British Columbia,Canada,CBC,,
cbcideas,cbcideas,cbcideas,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCIndigenous,CBCIndigenous,CBCIndigenous,OR,source,CBC,North,North,Canada,CBC,,
CBCInfoRad,CBCInfoRad,CBCInfoRad,OR,source,CBC,Winnipeg,Manitoba,Canada,CBC,,
CBCJaredThomas,CBCJaredThomas,CBCJaredThomas,OR,source,CBC,England,England,England,CBC,,
cbcjlong,cbcjlong,cbcjlong,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
CBCJohnBertrand,CBCJohnBertrand,CBCJohnBertrand,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
CBCjulie_dupre,CBCjulie_dupre,CBCjulie_dupre,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
CBCKamloops,CBCKamloops,CBCKamloops,OR,source,CBC,Kamloops,British Columbia,Canada,CBC,,
CBCKatie,CBCKatie,CBCKatie,OR,person,CBC,Ottawa,Ontario,Canada,CBC,,
CBCkd,CBCkd,CBCkd,OR,person,CBC,Calgary,Alberta,Canada,CBC,,
CBCKeyofA,CBCKeyofA,CBCKeyofA,OR,source,CBC,Calgary,Alberta,Canada,CBC,,
CBCKids,CBCKids,CBCKids,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCKW891,CBCKW891,CBCKW891,OR,source,CBC,Kitchener,Ontario,Canada,CBC,,
cbcLarson,cbcLarson,cbcLarson,OR,person,CBC,Regina,Saskatchewan,Canada,CBC,,
CBCLondon,CBCLondon,CBCLondon,OR,source,CBC,London,Ontario,Canada,CBC,,
CBCLorenda,CBCLorenda,CBCLorenda,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
CBCManitoba,CBCManitoba,CBCManitoba,OR,source,CBC,Manitoba,Manitoba,Canada,CBC,,
CBCMarcy,CBCMarcy,CBCMarcy,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
cbcmarketplace,cbcmarketplace,cbcmarketplace,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCMartina,CBCMartina,CBCMartina,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
CBCMeaghanK,CBCMeaghanK,CBCMeaghanK,OR,person,CBC,Winnipeg,Manitoba,Canada,CBC,,
CBCMoncton,CBCMoncton,CBCMoncton,OR,source,CBC,Moncton,Nova Scotia,Canada,CBC,,
CBCMontreal,CBCMontreal,CBCMontreal,OR,source,CBC,Montreal,Quebec,Canada,CBC,,
CBCMorningLive,CBCMorningLive,CBCMorningLive,OR,source,CBC,Toronto,Ontario,Canada,CBC,,
CBCMusic,CBCMusic,CBCMusic,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCNB,CBCNB,CBCNB,OR,source,CBC,New Brunswick,New Brunswick,Canada,CBC,,
CBCNews,CBCNews,CBCNews,OR,source,CBC,Canada,Canada,Canada,CBC,,
cbcnewsbc,cbcnewsbc,cbcnewsbc,OR,source,CBC,British Columbia,British Columbia,Canada,CBC,,
CBCNL,CBCNL,CBCNL,OR,source,CBC,New Foundland,Newfoundland,Canada,CBC,,
CBCNorth,CBCNorth,CBCNorth,OR,source,CBC,Canada,Canada,Canada,CBC,,
CBCNorthComms,CBCNorthComms,CBCNorthComms,OR,source,CBC,Canada,Canada,Canada,CBC,,
