,source_id,news handle,new_id,link,pubdate,source,tweet,post_method,user_statuses,user_following,user_followers,user_created_at,user_bio,user_location,lang,Person or source,Target,City,Province,Country,CBC,TweetToCBC,TweetToNOTCBC,mean(TweetToCBC)
5,4,cbc,13300,https://twitter.com/__11Max/statuses/910196707169841152,2017-09-19 14:39,__11max,rt @canadamediabias: wonder if #fakenews cbc has trudeau\'s team directly writing these articles for them? #defundcbc #trudeamust go https:/ ,Twitter for iPhone,1334,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
6,4,cbc,17759,https://twitter.com/__11Max/statuses/910212702475313159,2017-09-19 15:43,__11max,"@cbcpolitics change ""tax fairness"" to ""trudeau rip off tax"". there i fixed it for you. #fakepm",Twitter for iPhone,1338,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
7,4,nationalpost,33297,https://twitter.com/__11Max/statuses/910300615481405440,2017-09-19 21:32,__11max,rt @franktmcveety: trudeau s plan to kill energy east without getting caught https://t.co/xoxqdnje via @nationalpost,Twitter for iPhone,1345,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.666666667
8,4,cbc,44764,https://twitter.com/__11Max/statuses/909852302349144064,2017-09-18 15:51,__11max,rt @dean: @cbcpolitics leave it to the cbc to come to the liberals aid. how many private corps do trudeau and morneau have? panama pape ,Twitter for iPhone,1270,222,129,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
9,4,cbc,44644,https://twitter.com/__11Max/statuses/909853088126767110,2017-09-18 15:54,__11max,@cbcpolitics instead of this load of crap story cbc you should be investigating moneybags morneau and trudeau\'s bus  https://t.co/xeikqjyy,Twitter for iPhone,1270,222,129,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
10,4,nationalpost,94583,https://twitter.com/__11Max/statuses/910300615481405440,2017-09-19 21:32,__11max,rt @franktmcveety: trudeau s plan to kill energy east without getting caught https://t.co/xoxqdnje via @nationalpost,Twitter for iPhone,1346,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.666666667
47,36,cbc,45882,https://twitter.com/_dralaterdzo/statuses/909859083544678400,2017-09-18 16:18,_dralaterdzo,rt @cbcalerts: sask. rcmp looking for missing woman from lac la ronge. -year-old has been missing since sept. : https://t.co/alwspwn,Twitter for iPhone,83287,4586,3431,Mon Mar 02 20:56:34 +0000 2009,"deception expert, retired psych, left us  canada, love travel to india & hope to connect with others that do. s feminist #impeach  #theresistance                                     ",canada,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
48,36,globalhalifax,45919,https://twitter.com/_dralaterdzo/statuses/909858760604176385,2017-09-18 16:16,_dralaterdzo,rt @globalhalifax: the two men are described as white and one had a tattoo on his right cheek below his eye.https://t.co/pwedqjibj,Twitter for iPhone,83287,4586,3431,Mon Mar 02 20:56:34 +0000 2009,"deception expert, retired psych, left us  canada, love travel to india & hope to connect with others that do. s feminist #impeach  #theresistance                                     ",canada,en,source,Global,Halifax,Nova Scotia,Canada,Not CBC,0,1,0.5
83,62,cbc,27169,https://twitter.com/_Maggie_Price_/statuses/910266886394306560,2017-09-19 19:18,_maggie_price_,rt @cbcalerts: minister carolyn bennett urges conservatives to kick senator lynn beyak out of caucus: https://t.co/pqyabul #cdnpoli,Twitter for Android,13251,1051,716,Tue Aug 15 08:00:03 +0000 2017,"every bit as flawed as you are with poor enough self esteem to admit it. in canada, not sorry. yes i\'m judging you. buried under labels & unread books. blogger.",where anxiety meets depression,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
84,62,natnewswatch,82812,https://twitter.com/_Maggie_Price_/statuses/909982832600129536,2017-09-19 0:29,_maggie_price_,"rt @natnewswatch: boom! liberals maintain double-digit lead despite khadr payout, proposed tax reforms: poll https://t.co/tyactohd via @t ",Twitter for Android,13101,1043,707,Tue Aug 15 08:00:03 +0000 2017,"every bit as flawed as you are with poor enough self esteem to admit it. in canada, not sorry. yes i\'m judging you. buried under labels & unread books. blogger.",where anxiety meets depression,en,source,Nat News Watch,Canada,Canada,Canada,Not CBC,0,1,0.5
100,71,michaeltgorman,14100,https://twitter.com/_NSHC/statuses/910200040924295169,2017-09-19 14:52,_nshc,rt @michaeltgorman: breaking: @oag_ns to audit @iwkhealthcentre #nspoli,Twitter Web Client,2894,495,1093,Fri Jun 24 11:12:31 +0000 2011,nova scotians coming together to defend and improve public health care.,"halifax, ns",en,person,CBC,Halifax,Nova Scotia,Canada,CBC,1,0,0.666666667
101,71,michaeltgorman,15832,https://twitter.com/_NSHC/statuses/910207461453369344,2017-09-19 15:22,_nshc,rt @michaeltgorman: nova scotia auditor general to investigate iwk https://t.co/lnmqknm #nspoli,Twitter Web Client,2897,495,1093,Fri Jun 24 11:12:31 +0000 2011,nova scotians coming together to defend and improve public health care.,"halifax, ns",ro,person,CBC,Halifax,Nova Scotia,Canada,CBC,1,0,0.666666667
102,71,capebretonpost,67895,https://twitter.com/_NSHC/statuses/910221784674439176,2017-09-19 16:19,_nshc,rt @capebretonpost: doctors angry at opposition to planned tax changes urge ottawa to forge aheadhttps://t.co/jzgxdf,Twitter Web Client,2899,495,1093,Fri Jun 24 11:12:31 +0000 2011,nova scotians coming together to defend and improve public health care.,"halifax, ns",en,source,Cape Breton Post,Cape Breton,Nova Scotia,Canada,Not CBC,0,1,0.666666667
157,113,macleans,91274,https://twitter.com/1001cjd/statuses/910177310820663298,2017-09-19 13:22,1001cjd,rt @muradhem: some personal news: i\'m moving to ottawa to cover politics for @macleans,Twitter for iPhone,43876,2916,942,Wed Oct 20 23:13:38 +0000 2010,"i tweet about issues & the news. about books, writing & media. re-tweets=something interesting. interviewer at ipsos.","calgary, alberta, canada",en,source,MacLeans,Canada,Canada,Canada,Not CBC,0,1,0.666666667
158,113,thecurrentcbc,83525,https://twitter.com/1001cjd/statuses/910196839005118465,2017-09-19 14:40,1001cjd,"rt @thecurrentcbc: despite our current environmental crisis, some species are not only surviving but thriving, says ecologist. https://t.co ",Twitter for iPhone,43902,2917,943,Wed Oct 20 23:13:38 +0000 2010,"i tweet about issues & the news. about books, writing & media. re-tweets=something interesting. interviewer at ipsos.","calgary, alberta, canada",en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
159,113,cbc,10390,https://twitter.com/1001cjd/statuses/910176226089693184,2017-09-19 13:18,1001cjd,rt @cbcpolitics: trudeau pledges to push through tax fairness agenda and defends own family\'s use of tax rules https://t.co/ugvshonby #hw ,Twitter for iPhone,43876,2916,942,Wed Oct 20 23:13:38 +0000 2010,"i tweet about issues & the news. about books, writing & media. re-tweets=something interesting. interviewer at ipsos.","calgary, alberta, canada",en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
169,119,torontostar,79539,https://twitter.com/10sac2017/statuses/910266931743256582,2017-09-19 19:18,10sac2017,rt @feverpitch: @cnn @abc @nbcnews @torontostar @cbcnews @ctvnews  pray tell.. y r u ignoring this?  does not fit your disgusting agenda? ,Twitter for iPhone,52987,167,532,Sun Nov 28 06:36:44 +0000 2010,NA,"toronto, ontario",en,source,Toronto Star,Toronto,Ontario,Canada,Not CBC,0,1,0.5
170,119,cbc,79540,https://twitter.com/10sac2017/statuses/910266921320435712,2017-09-19 19:18,10sac2017,rt @feverpitch: @cbcnews @torontostar @cnn @cnnbc @abc @ctvnews never forget what islamists can do   islamic terrorism. https://t.co/tiep ,Twitter for iPhone,52987,167,532,Sun Nov 28 06:36:44 +0000 2010,NA,"toronto, ontario",en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
184,126,ipoliticsca,87765,https://twitter.com/1236/statuses/909912876776935424,2017-09-18 19:51,1236,the ndp\'s toxic choice: accept a muslim-bashing law   or lose quebec https://t.co/yeemdlyw via @ipoliticsca,Twitter Web Client,27593,0,4055,Thu Apr 09 13:25:19 +0000 2015,subscribe to the lunchtime tabloid email newsletter here! https://t.co/ocqrkjxu toronto\'s daily news burrito              @.ca dms open for ~confidential~ tips,toronto,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.333333333
185,126,ipoliticsca,52316,https://twitter.com/1236/statuses/909912876776935424,2017-09-18 19:51,1236,the ndp\'s toxic choice: accept a muslim-bashing law   or lose quebec https://t.co/yeemdlyw via @ipoliticsca,Twitter Web Client,27593,0,4055,Thu Apr 09 13:25:19 +0000 2015,subscribe to the lunchtime tabloid email newsletter here! https://t.co/ocqrkjxu toronto\'s daily news burrito              @.ca dms open for ~confidential~ tips,toronto,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.333333333
186,126,cbc,8142,https://twitter.com/1236/statuses/910159378178871298,2017-09-19 12:11,1236,rt @howardfremeth: big moment in canadian broadcasting. @cbcnews cuts away from trudeau announcement to cover trump speech.            https://t ,Twitter Web Client,27634,0,4056,Thu Apr 09 13:25:19 +0000 2015,subscribe to the lunchtime tabloid email newsletter here! https://t.co/ocqrkjxu toronto\'s daily news burrito              @.ca dms open for tips (off this grid /-),toronto,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.333333333
203,139,etcanada,103515,https://twitter.com/1986Webber/statuses/910210664668520448,2017-09-19 15:35,1986webber,rt @etcanada: .@shaniatwain shares a sweet snap with john travolta on the set of their movie \'trading paint\' https://t.co/nonbpihtkn https: ,Twitter Web Client,39962,2930,1668,Fri Nov 18 21:01:25 +0000 2011,"livin\' the good life. tweets are mine, and shared info purposes only and respect my privacy.","sudbury, ontario",en,source,Global,Canada,Canada,Canada,Not CBC,0,1,0.2
204,139,etcanada,99581,https://twitter.com/1986Webber/statuses/909935816478269440,2017-09-18 21:22,1986webber,rt @etcanada: linking park announces how they will pay tribute to chester bennington https://t.co/hbetjvn https://t.co/gnkuougyq,Twitter Web Client,39869,2927,1667,Fri Nov 18 21:01:25 +0000 2011,"livin\' the good life. tweets are mine, and shared info purposes only and respect my privacy.","sudbury, ontario",en,source,Global,Canada,Canada,Canada,Not CBC,0,1,0.2
205,139,etcanada,97642,https://twitter.com/1986Webber/statuses/909859558616702976,2017-09-18 16:19,1986webber,rt @etcanada: #mariahcarey says goodbye to #mariahsworld after the show is cancelled following its first seasonhttps://t.co/edxidgihq htt ,Twitter Web Client,39839,2927,1669,Fri Nov 18 21:01:25 +0000 2011,"livin\' the good life. tweets are mine, and shared info purposes only and respect my privacy.","sudbury, ontario",en,source,Global,Canada,Canada,Canada,Not CBC,0,1,0.2
206,139,etcanada,96304,https://twitter.com/1986Webber/statuses/909811352344121344,2017-09-18 13:08,1986webber,"rt @etcanada: tribute concert for leonard cohen to be held in november in montreal, find out who will be performing https://t.co/nwvskjdnn ",Twitter Web Client,39815,2926,1667,Fri Nov 18 21:01:25 +0000 2011,"livin\' the good life. tweets are mine, and shared info purposes only and respect my privacy.","sudbury, ontario",en,source,Global,Canada,Canada,Canada,Not CBC,0,1,0.2
207,139,cbc,66553,https://twitter.com/1986Webber/statuses/910168049042575361,2017-09-19 12:45,1986webber,"rt @mrd_on_cbc: season  of mr. d is on its way! tune in - tuesday, september , : pm ( nt) on @cbc! https://t.co/uqtjtng",Twitter Web Client,39932,2930,1670,Fri Nov 18 21:01:25 +0000 2011,"livin\' the good life. tweets are mine, and shared info purposes only and respect my privacy.","sudbury, ontario",en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.2
218,150,chronicleherald,101684,https://twitter.com/1loriking/statuses/910143581834371073,2017-09-19 11:08,1loriking,rt @deadder: cartoon for @chronicleherald #trump #unitednations https://t.co/oonzaomk,Twitter for Android,334116,4194,3295,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,Chrinicle Herald,Halifax,Nova Scotia,Canada,Not CBC,0,1,0.294117647
219,150,cbc,3711,https://twitter.com/1loriking/statuses/910143781411983360,2017-09-19 11:09,1loriking,rt @journo_dale: #cbcnn just cut away from trudeau to cover trump. slow clap.,Twitter for Android,334135,4194,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.294117647
220,150,bcgovfireinfo,70482,https://twitter.com/1loriking/statuses/910345267337158656,2017-09-20 0:29,1loriking,"rt @bcgovfireinfo: as of noon tomorrow, off-road vehicles will once again be permitted on crown land across b.c. info: https://t.co/dzqk ",Twitter for Android,334602,4201,3296,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,BC Wildfire Help,British Columbia,British Columbia,Canada,Not CBC,0,1,0.294117647
221,150,thecurrentcbc,83123,https://twitter.com/1loriking/statuses/910154269608808448,2017-09-19 11:51,1loriking,"@thecurrentcbc @lesliboldt @brennavelker @ritikagoelto one will use facts, other will use fear mongering.  make sure not partisan.",Twitter for Android,334189,4194,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.294117647
222,150,thecurrentcbc,83122,https://twitter.com/1loriking/statuses/910154297790357509,2017-09-19 11:51,1loriking,"rt @friendofust: @thecurrentcbc @brennavelker @ritikagoelto i did hear whinging abt how others get pensions &amp; benefits that doctors don\'t, ",Twitter for Android,334189,4194,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.294117647
223,150,ipoliticsca,91566,https://twitter.com/1loriking/statuses/910188356205780997,2017-09-19 14:06,1loriking,rt @ipoliticsca: opinion: @martinpatriquin on the ndp\'s toxic choice: accept a muslim-bashing law   or lose quebec https://t.co/jbvlraem ,Twitter for Android,334265,4194,3292,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.294117647
224,150,weathernetwork,79834,https://twitter.com/1loriking/statuses/910277866184732672,2017-09-19 20:02,1loriking,rt @weathernetwork: facts and figures of the atlantic hurricane season  so far: https://t.co/xqkmsmtyu https://t.co/eflxwhank,Twitter for Android,334464,4201,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,The Weather Network,Canada,Canada,Canada,Not CBC,0,1,0.294117647
225,150,natobserver,51122,https://twitter.com/1loriking/statuses/909901403740614658,2017-09-18 19:06,1loriking,rt @natobserver: justin trudeau and theresa may form alliance on climate battlefield https://t.co/ireczztryg #climatechange #renewableenerg ,Twitter for Android,334045,4192,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,National Observer,International,International,International,Not CBC,0,1,0.294117647
226,150,cbc,6431,https://twitter.com/1loriking/statuses/910152212277587968,2017-09-19 11:42,1loriking,"rt @democracywatchr: dwatch was just on @cbcearlyedition re: bc govt.\'s political finance bill will hide, not stop, big money https://t.co/ ",Twitter for Android,334187,4194,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.294117647
227,150,ipoliticsca,12108,https://twitter.com/1loriking/statuses/910188356205780997,2017-09-19 14:06,1loriking,rt @ipoliticsca: opinion: @martinpatriquin on the ndp\'s toxic choice: accept a muslim-bashing law   or lose quebec https://t.co/jbvlraem ,Twitter for Android,334288,4195,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.294117647
228,150,ipoliticsca,94853,https://twitter.com/1loriking/statuses/910312406613622784,2017-09-19 22:19,1loriking,"rt @ipoliticsca: bill c- strikes \'appropriate balance\', says privacy commissioner. @bbritneff reports. https://t.co/yumosbhhs #cdnpoli h ",Twitter for Android,334525,4201,3297,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.294117647
229,150,vancouversun,6497,https://twitter.com/1loriking/statuses/910151862988541952,2017-09-19 11:41,1loriking,"rt @vancouversun: rcmp investigations into fentanyl shipments from china lead to arrests, charges in canada https://t.co/qkqeoxbkdg https:/ ",Twitter for Android,334187,4194,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,Vancouver Sun,Vancouver,British Columbia,Canada,Not CBC,0,1,0.294117647
230,150,globeandmail,105809,https://twitter.com/1loriking/statuses/910297949380464640,2017-09-19 21:21,1loriking,rt @flarefashion: . @robyndoolittle on how she became @globeandmail\'s fearless and groundbreaking investigative reporter. #howimadeit https ,Twitter for Android,334526,4201,3292,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,Globe and Mail,Canada,Canada,Canada,Not CBC,0,1,0.294117647
231,150,bcgovfireinfo,70479,https://twitter.com/1loriking/statuses/910345411927449601,2017-09-20 0:30,1loriking,rt @bcgovfireinfo: update: good progress on #bcwildfire incidents across the southeast. more info: https://t.co/cvjoagf https://t.co/qho ,Twitter for Android,334602,4201,3296,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,BC Wildfire Help,British Columbia,British Columbia,Canada,Not CBC,0,1,0.294117647
232,150,natobserver,25075,https://twitter.com/1loriking/statuses/910255799716458502,2017-09-19 18:34,1loriking,"rt @natobserver: the banking info  was only released to one individual with no known affiliations,  the neb said https://t.co/dpgszdu #c ",Twitter for Android,334445,4198,3294,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,National Observer,International,International,International,Not CBC,0,1,0.294117647
233,150,ipoliticsca,35317,https://twitter.com/1loriking/statuses/910312406613622784,2017-09-19 22:19,1loriking,"rt @ipoliticsca: bill c- strikes \'appropriate balance\', says privacy commissioner. @bbritneff reports. https://t.co/yumosbhhs #cdnpoli h ",Twitter for Android,334529,4201,3297,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.294117647
234,150,cbc,32534,https://twitter.com/1loriking/statuses/910298018683015169,2017-09-19 21:22,1loriking,rt @cbcalerts: watch live as pm trudeau delivers remarks at the atlantic council dinner in new york: https://t.co/eugjjtekv,Twitter for Android,334526,4201,3295,Wed Oct 19 19:55:39 +0000 2011,"promotional products & promotions consulting, digital and traditional media commentator. beginning writer. rts not endorsement kingmediawatch & loriking(dot)xyz",quebec,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.294117647
239,152,ctv_powerplay,51041,https://twitter.com/1NorthSparrow/statuses/909902088892796930,2017-09-18 19:08,1northsparrow,@ctv_powerplay @thomasmulcair timely reminder of why the ndp got hammered in last federal election. hopefully new l  https://t.co/dztzexls,Twitter Web Client,1480,1,14,Wed Apr 01 09:25:52 +0000 2015,NA,NA,en,source,CTV,Ottawa,Ontario,Canada,Not CBC,0,1,0.4
240,152,cbc,1427,https://twitter.com/1NorthSparrow/statuses/910117539031764992,2017-09-19 9:25,1northsparrow,@cbcpolitics @andrewscheer sounded like a very bad parody of a tory stereotype in defending the #tiertaxsystem #cdnpoli #cdnecon,Twitter Web Client,1503,1,14,Wed Apr 01 09:25:52 +0000 2015,NA,NA,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.4
241,152,cbc,42987,https://twitter.com/1NorthSparrow/statuses/909838557065416707,2017-09-18 14:56,1northsparrow,@cbcpolitics ceta will be such a refreshing change from nafta. instead of losing our auto sector to mexico we\'ll lo  https://t.co/tcdgggwzh,Twitter Web Client,1478,1,14,Wed Apr 01 09:25:52 +0000 2015,NA,NA,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.4
242,152,torontostar,80701,https://twitter.com/1NorthSparrow/statuses/910312956122075136,2017-09-19 22:21,1northsparrow,closing tax loopholes is an important step toward tax fairness https://t.co/otuzfblku via @torontostar,Twitter Web Client,1507,1,14,Wed Apr 01 09:25:52 +0000 2015,NA,NA,en,source,Toronto Star,Toronto,Ontario,Canada,Not CBC,0,1,0.4
243,152,torontostar,80763,https://twitter.com/1NorthSparrow/statuses/910311205612515329,2017-09-19 22:14,1northsparrow,rt @torontostar: plan to rein in  income sprinkling  a welcome tax reform: wells https://t.co/uuyeivtygo https://t.co/siwulhoo,Twitter Web Client,1507,1,14,Wed Apr 01 09:25:52 +0000 2015,NA,NA,en,source,Toronto Star,Toronto,Ontario,Canada,Not CBC,0,1,0.4
260,161,nationalpost,86859,https://twitter.com/204_7198/statuses/909879951859560448,2017-09-18 17:40,204_7198,rt @nationalpost: hurricane maria pushes toward already battered caribbean: \'this storm promises to be catastrophic\' https://t.co/trekudo ,Twitter for iPad,590,314,36,Wed Jul 29 00:23:35 +0000 2015,NA,NA,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.5
261,161,cbc,62520,https://twitter.com/204_7198/statuses/909880069727891456,2017-09-18 17:41,204_7198,rt @cbc: #polaris:  things you didn\'t know about gord downie\'s secret path https://t.co/qtiimaniv https://t.co/vboazazbe,Twitter for iPad,590,314,36,Wed Jul 29 00:23:35 +0000 2015,NA,NA,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
342,218,cbc,9832,https://twitter.com/4MyPeers/statuses/910172375978782720,2017-09-19 13:02,4mypeers,rt @denisebatters: .@cbcpolitics did #trudeau govt allocate these duties to heritage dept since it did such a bang-up job of #canadaday in ,Twitter for Android,103290,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.333333333
343,218,ipoliticsca,26333,https://twitter.com/4MyPeers/statuses/910263360985411584,2017-09-19 19:04,4mypeers,rt @ipoliticsca: more than k people have been intercepted by the rcmp in between official points of entry this year https://t.co/azvlmr ,Twitter for Android,103351,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.333333333
344,218,nationalpost,91359,https://twitter.com/4MyPeers/statuses/910180893750435840,2017-09-19 13:36,4mypeers,rt @nationalpost: andrew coyne: time for reality tv in parliament   get cameras out or let them all the way in https://t.co/devriqce http ,Twitter for Android,103297,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.333333333
345,218,cbc,11006,https://twitter.com/4MyPeers/statuses/910180142756061191,2017-09-19 13:33,4mypeers,rt @cbcpolitics: trudeau pledges to push through tax fairness agenda and defends own family\'s use of tax rules https://t.co/ugvshonby #hw ,Twitter for Android,103297,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.333333333
346,218,nationalpost,10964,https://twitter.com/4MyPeers/statuses/910180426865680384,2017-09-19 13:34,4mypeers,"rt @nationalpost: powerful group of senators to choose new leader next week, with only one contender https://t.co/futuzkpws #cdnpoli https ",Twitter for Android,103297,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.333333333
347,218,nationalpost,91382,https://twitter.com/4MyPeers/statuses/910180426865680384,2017-09-19 13:34,4mypeers,"rt @nationalpost: powerful group of senators to choose new leader next week, with only one contender https://t.co/futuzkpws #cdnpoli https ",Twitter for Android,103297,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.333333333
348,218,cbc,9835,https://twitter.com/4MyPeers/statuses/910172368064172032,2017-09-19 13:02,4mypeers,rt @cbcpolitics: liberals leave royal position vacant in queen\'s sapphire jubilee year https://t.co/dffkihqwc #hw #cdnpoli https://t.co/vv ,Twitter for Android,103290,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.333333333
349,218,ipoliticsca,93590,https://twitter.com/4MyPeers/statuses/910263360985411584,2017-09-19 19:04,4mypeers,rt @ipoliticsca: more than k people have been intercepted by the rcmp in between official points of entry this year https://t.co/azvlmr ,Twitter for Android,103353,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,iPolitics Canada,Ottawa,Ontario,Canada,Not CBC,0,1,0.333333333
350,218,thespec,81461,https://twitter.com/4MyPeers/statuses/910340739086929921,2017-09-20 0:12,4mypeers,rt @thespec: robbie robertson to receive six nations honour https://t.co/xwousjc,Twitter for Android,103399,62,33,Fri Oct 05 00:04:16 +0000 2012,volunteer | past board advisor / board director / program director | rts not endorsement.,ontario,en,source,Hamilton Spectator,Hamilton,Ontario,Canada,Not CBC,0,1,0.333333333
448,253,cbc,26375,https://twitter.com/72Rubina/statuses/910263069879574529,2017-09-19 19:03,72rubina,rt @cbcalerts: update: pm trudeau in tweet says \'devastating\' news from mexico city. canada will be ready to help our friends following mex ,Twitter for iPhone,1324,163,100,Fri Mar 11 17:07:15 +0000 2011,NA,edmonton alberta canada,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.4
449,253,globalnews,30884,https://twitter.com/72Rubina/statuses/910290606601027584,2017-09-19 20:52,72rubina,"rt @globalnews: canada is ready to help  our friends,"" trudeau says of mexico earthquake. https://t.co/xuprhiwn",Twitter for iPhone,1327,163,100,Fri Mar 11 17:07:15 +0000 2011,NA,edmonton alberta canada,en,source,Global,Canada,Canada,Canada,Not CBC,0,1,0.4
450,253,ctvnews,40220,https://twitter.com/72Rubina/statuses/910332826297368577,2017-09-19 23:40,72rubina,rt @ctvnews: trudeau promotes \'progressive\' nafta agenda before u.s. audience https://t.co/xiuwiko https://t.co/qfwpbsvjr,Twitter for iPhone,1336,163,100,Fri Mar 11 17:07:15 +0000 2011,NA,edmonton alberta canada,en,source,CTV,Canada,Canada,Canada,Not CBC,0,1,0.4
